Key,Category,Categories,Business function,Copilot,Industry,Month,Publication date,Customer,Vendor,In-house / 3rd party,Business need,Solution,AI technologies,Results,Other details,Source,Financial effect,Scenario,Scenario Impact level,Scenario Implementation Effort level
113,Testing (Pilots),Testing (Pilots),,,,1,2025,MOEX,MWS AI,,"Направляю заметки по встрече:
Есть несколько инициатив использования LLM.
Внешний контур:
1.	FinGPT (используется GigaChat API и Yandex GPT API):
1.	Стоит запрет на использование Llama – можно обсудить MTS AI после того, как поменяется модель под капотом для (70B+)
2.	Цензура
3.	Нагрузка (100000 токенов) – тут есть вопросы к поставщикам по производительности
4.	Финансовый домен (Сбер хорошо отрабатывает)
5.	Навыки (задачи извлечения из текстовой новости, временные атрибуты – пока ещё плохо отрабатываются)
2.	Есть интерес посмотреть решение по ген коду Kodify – презентацию прилагаю
Внутренний контур:
1.	Есть так же запрет по использованию Llama, можем ещё раз обсудить после закупки оборудования, возможно для контурного развертывания ограничения ослабит комплаенс
2.	Планируется закупка H100
3.	Будет тестирование ПАК GigaCube
4.	Можем предложить консалтинг с нашей стороны

Предлагаю вернуться к обсуждению после закупки оборудования и обсудить возможные сценарии применения LLM и нашей экспертизы от MTS AI в контуре Мосбиржи.",,,,,,,,,
114,Testing (Pilots),Testing (Pilots),,,,1,2025,ГПБ,MWS AI,,,,,,,,,,,
115,Testing (Pilots),Testing (Pilots),,,,1,2025,Почта-банк,MWS AI,,,"Подняли стенд, дали доступ Заказчику. Обновляли 1 раз индекс и пайплайн для улучшения результатов",,"Сначала были печальные результаты по тестам Заказчиком:
Всего – 57 запроса.
Корректно – 12
Некорректно – 30
Частично корректно – 15

Потом мы изменили пайплайн и улучшили результаты, заказчик ушел тестировать и вернулся с:
Всего протестирован 89 запросов:
Корректно — 28;
Частично —28;
Некорректно – 33.",,,,,,
116,Testing (Pilots),Testing (Pilots),,,,1,2025,ЭджЦентр,MWS AI,,Поиск по документам для обучения новых сотрудников,Подняли стенд https://docqa-edge-web.dev.mts.ai/,,,,,,,,
117,Testing (Pilots),Testing (Pilots),,,,1,2025,Skillazz,MWS AI,,Написание резюме и скриннинг вакансий,"Дали доступ к 70В модели 1. Модель 70b - интерфейс будет доступен через web.
Адрес интерфейса: https://cotype5.dev.mts.ai/
Адрес API Endpoint (раздел 7 документации): https://demo5-fundres.dev.mts.ai
API_KEY: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InIubXVsbGEtZ2FpYW5vdkBza2lsbGF6LnJ1In0.fKGsWN9SrhFkGYs8zhoSLybWs_xYLIrx7kAjLPRpsas",,Качество работы модели закзачика удовлетворило,,,,,,
118,Testing (Pilots),Testing (Pilots),,,,1,2025,Ростелеком,MWS AI,,Тестирование на предмет применения в своих бизнес-задачах,"Дали доступ к стендам https://docqa-rostelekom.dev.mts.ai/ API endpoint:
Для 70b: https://demo5-fundres.dev.mts.ai/
Имя модели: cotype_pro_8k_1.0
Для 13b: https://demo6-fundres.dev.mts.ai/
Имя модели: cotype_plus_32k_1.0

Доступ по веб: https://cotype5.dev.mts.ai/
                             https://cotype6.dev.mts.ai/
",,,,,,,,
119,Testing (Pilots),Testing (Pilots),,,,1,2025,МТС Тревел,MWS AI,,Поисковый индекс по постам тг-каналов (выгрузке),"Индекс на 2 стендах, передан доступ по апи",,нет,,,,"RAG,Суммаризация,Генерации json",,
120,Testing (Pilots),Testing (Pilots),,,,1,2025,IPSOS,MWS AI,,"Кодификацтор опросов ОМ, генератор кодификаторов",Промптинг,,"95% качество классификации, сравнение с эатоном",,,,,,
121,Testing (Pilots),Testing (Pilots),,,,1,2025,Честный знак,MWS AI,,"Вопрос-ответная система по документации

Предобработка вопроса","Поисковый индекс по открытым данным и данным заказчика, несоклько итераций",,нет,,,,"RAG,Суммаризация,Генерации json",,
122,Testing (Pilots),Testing (Pilots),,,,1,2025,НЛМК,MWS AI,,"Систему, которая по БД умеет строить SQL-запросы на основе ввода на естественном языке",Большой проект с промптингом,,нет,,,,,,
123,Testing (Pilots),Testing (Pilots),,,,1,2025,СИБУР,MWS AI,,"Систему, которая по БД умеет строить SQL-запросы на основе ввода на естественном языке",Большой проект с промптингом,,нет,,,,,,
124,Testing (Pilots),Testing (Pilots),,,,1,2025,MWS,MWS AI,,RAG-конструктор разной наполненности,Разные сборки с данными индекса,,нет,,,,,,
125,Testing (Pilots),Testing (Pilots),,,,1,2025,MWS,MWS AI,,Генератор документа RCA на основе данных о решении инцидентов,Промптинг,,нет,,,,,,
126,Testing (Pilots),Testing (Pilots),,,,1,2025,РСХБ,MWS AI,,"Воспрос-ответная система по ТП на сонвое выгрузки, несколько раз менялись данные",Аналитика,,нет,,,,,,
127,Testing (Pilots),Testing (Pilots),,,,1,2025,МатериаМедика,MWS AI,,"Тестирование на предмет анализа данных из БД Clickhouse продаж, трендов, и т.д.","В рамках https://jira.mts.ai/browse/COT-524 были подготовлны промпты в LLM для аналитики запроса, формирования SQL запроса и аналитики полученных данных из БД. ",,,,,,,,
128,Testing (Pilots),Testing (Pilots),,,,2,2025,Фармперспектива,MWS AI,,"Автоматизировать написание тест-кейсов для тестирования своих систем на 1С

Генерация большого объема текста на основе имеющихся данных, не придумывая новое (то есть не можем отнести к брейнштормингу и креативному письму)","Реализация: пользователь загружает документацию системы, по которой необходимо сформировать тест-кейсы

Процесс генерации разбит на шаги: загрузка, утверждение черновика, финальная сборка документа с тест-кейсами

В интерфейс выведена настройка промптов, чтобы заказчик сам могу учесть новые пожелания

Настроена аутентификация в кейклок",,Запрошен фидбек от специалистов 1С заказчика,,,,"Суммаризация,Расп-е текста на изображ(OCR),""Распознавание графиков, диаграм, таблиц"",Распоз элементов интерфейса",,
129,Testing (Pilots),Testing (Pilots),,,,2,2025,РСХБ,MWS AI,,Автоматизировать классификацию подсервисов для обращений в ТП,"Список подсервисов вынесен в structrured output с возможностью редактирования в UI

Одиночная и массовая классификация

",,"Оценка точности - примерно 60%
Полнота - пересчитать",,,,Классификация,,
130,Testing (Pilots),Testing (Pilots),,,,2,2025,МТС ИИ Продсаппорт,MWS AI,,Автоматизировать назначение готовых статей для неразобранных тикетов в поддержке,"Стенд для соотнесения тикетов, поступающий в ТП с базой готовых статей, массовый прогон",,"Точность первой итерации - 41%
Полноту не оценивали",,,,Классификация,,
131,Testing (Pilots),Testing (Pilots),,,,2,2025,MOMRA,MWS AI,,Чат с поиском по документу,"Пользователь может загрузить любые pdf/excel документы

После индексации пользователю становится доступен чат по сформированной базе знаний.  Сохраняется история диалога и можно задавать уточняющие вопросы.",,Точно не оценивали,,,,"RAG,Суммаризация,Расп-е текста на изображ(OCR),""Распознавание графиков, диаграм, таблиц"",Распоз элементов интерфейса",,
132,Testing (Pilots),Testing (Pilots),,,,2,2025,БТБ ИИ Маркетплейс,MWS AI,,"Проверить возможно ли создать качественное для генерации смм контента, видимо для продаж как готовое решение","Генерация контент-планов и постов с возможность указать параметры (ЦА, категория бизнеса, частота публикации, каналы и пр.)

В UI вынесены промпты для возможности доп. настроек",,Точно не оценивали,,,,"Креативное письмо,Бреиншторминг (способность генерации новых идей)",,
133,Testing (Pilots),Testing (Pilots),,,,2,2025,МГТ,MWS AI,,"Автоматизировать направление обращений в нужные службы

Предобработка запроса, остальное на ML","Промпты с извлечением сути проблемы из жалобы
Предобработка и формирование датасета из текста жалобы + заполненных пользователем категорий: объект, категория объекта

Метод ближайших соседей, где текст нового обращения сравнивается с уже размеченными примерами
Стратифицированная кросс-валидация (Stratified K-Fold), цель – проверить устойчивость модели и исключить влияние случайного разбиения данных

В индексе 10 000 примеров классифицированных обращений

12 категорий классификации",,"Точность новой классификации методом ""ближайших соседей"" - примерно 80%

Перепроверка с помощью Стратифицированная кросс-валидация - примерно 75%",,,,,,
134,Testing (Pilots),Testing (Pilots),,,,3,2025,Акрихин,MWS AI,,"Автоматизировать поиск по внутренней документации

Предобработка запроса и обогащение с помощью заполнения словаря","Создано 4 отдельных индекса по категориям знаний, поиск с выбором конретного из списка или по всем. Поддерживается вывод картинок из документов (без распознавания).

Из-за специфики домена создан словарь ассоциативных терминов и сокращений. При поиске пользовательский запрос обогащается найденными ассоциациями для улучшения точности поиска",,"Не замеряли, планируем передать тренерам",,,,"Суммаризация,RAG,Расп-е текста на изображ(OCR),""Распознавание графиков, диаграм, таблиц""",,
135,Testing (Pilots),Testing (Pilots),,,,3,2025,Черноголовка,MWS AI,,Автоматизировать поиск по внутренней документации,"Создан общий индекс по предоставленной документации.
Поддерживается индексация новых документов из интерфейса.",,"Провели самостоятельную оценку качества по методике тренеров - Черноголовка / Оценка ответов
Верные - 82%",,,,"Суммаризация,RAG",,
136,Testing (Pilots),Testing (Pilots),,,,3,2025,Аэрофлот,MWS AI,,"Упростить работу с закупочной документацией - быстро анализировать предложения поставщиков

Извлечение сущностей","Инструмент для извлечения  информации из документов закупок (может быть использован для любых документов).

Основная функциональность:
Загрузка документов в PDF, WORD, TXT
Указание нужных атрибутов для извлечения.  Есть предустановленный набор атрибутов, можно менять.
Асинхронная обработка атрибутов. Кеширование запросов позволяет  извлекать каждый атрибут отдельным запросом.
Доступна настройка количества одновременных запросов
Двухэтапный процесс извлечения атрибутов с повторной попыткой для сложных случаев
Визуализация процесса обработки в реальном времени
Табличное представление излеченных данных, можно скачать результаты в excel
Анализ данных с мощью естественного языка

Настройка 3 типов промпотв: для первичного извлечения данных, для повторного изволения, а также для целей аналитики",,Конкретные метрики не замерялись,,,,"Суммаризация,Математика и арифметичие операции,Расп-е текста на изображ(OCR)",,
137,Testing (Pilots),Testing (Pilots),,,,3,2025,Минфин,MWS AI,,Определять к какому из 28 департаментов относится входящее письмо,"Собрали, обработали и добавили новые данные о функциях департамента. Всего было проиндексировано около 1,5 тысячи строк с описанием различных функций.
Сделали доработку суммаризации, использование выделение сущностей с кейса Аэрофлота.
Собрали два новых индекса",,"Делали самостоятельную оценку - Результаты тестирования
Финальные результаты не дали значительный рост качества",,,,"Суммаризация,RAG",,
138,Testing (Pilots),Testing (Pilots),,,,4,2025,НПФ Сбербанка,MWS AI,,Стенд с вопросами-ответами,"Стенд в стримлите с раг по внутренней документации.

Валидационный сет сформировали с помощью авторага.

Отдельно подготовлен эндоинт для отправки вопросов по api (создан отдельный от стримлита аналогичный индекс)",,-,,,,"RAG,Суммаризация",,
139,Testing (Pilots),Testing (Pilots),,,,4,2025,Минцифры Воронеж,MWS AI,,Помогать инженерам тех. поддержки быстрее находить ответы по теме администрирования Астра Линукса,"
Стенд в стримлите с раг по руководствам поддержки Astra Linux. Данные парсились с https://wiki.astralinux.ru/pages/viewpage.action?pageId=137563555

Валидационный сет сформировали с помощью авторага.

В ответах используются общие знания модели по теме системного администрирования и Астра Линукс в случае если подходящей информации нет в загруженных руководствах",,-,,,,"Суммаризация,RAG",,
140,Testing (Pilots),Testing (Pilots),,,,4,2025,ДИТ,MWS AI,,"В текущем боте есть проблемы с масштабированием сценариев, так как система работает на промптах. Хотелось попробовать альтернативный вариант с раг, чтобы в том числе посмотреть на прирост по качеству определения мошенничества.
Агенты","Бот на примерах:
Использует RAG-подход с базой реальных мошеннических сообщений
Находит похожие примеры из базы для анализа входящего сообщения
Для каждого примера хранятся категории и признаки мошенничества

Бот на признаках:
Использует RAG с базой признаков мошенничества (категории, описания, ключевые слова)
Находит релевантные признаки по ключевым словам из входящего сообщения
На их основе формирует вердикт о наличии мошенничества

Агентный бот:
Использует систему взаимодействующих LLM-агентов
Агент-распределитель (триаж) определяет нужные специализированные агенты
Параллельно запускаются агенты для проверки конкретных типов мошенничества
Финальный агент компилирует отчет на основе всех проверок",,Еще замеряют,,,,"Суммаризация,RAG",,
141,Testing (Pilots),Testing (Pilots),,,,4,2025,Минфин,MWS AI,,Автоматизировать ответы на письма в Минфин,"MVP-cтенд для генерации проекта ответа на входящее письмо.

После загрузки письма формируется дайджест с основной темой, ключевыми пунктами и деталями, которые помогают быстрее определить содержание запроса.

Для подготовки ответа формируется вводная шаблонная часть. Есть два поля ввода для уточнения ""тела"" ответа: 1) для ввода названия документов, на которые можно ссылаться; 2) ввод резолюции ответа.

На финальном шаге формируется проект ответа.

Сейчас делаем второй подход с классификацией по категориям типовых обращений и генерацией ответов по шаблонам категорий",,-,,,,"Креативное письмо,Суммаризация,Расп-е текста на изображ(OCR),""Распознавание графиков, диаграм, таблиц""",,
142,Testing (Pilots),Testing (Pilots),,,,4,2025,МинЮст Saudi Arabia,MWS AI,,"1: в зале суда ведется траскрипция. Транскрибированный текст надо избавлять от грам/лекс ошибок и делать саммари. Люди говорят на разных диалектах - саудовском, египетском, йеменском и тд. Нужно чтобы суммаризация была именно на саудовском арабском

2: саммари транскрибированных звонков диалогов в кц и создание тикетов на основе смысла саммари","
Стенд на арабском языке, разделен на 2 функциональности.

Саммаризация  судебных заседаний: на вход подается транскрибированнй текст или документ, данные анализируются по настройкам в промпте и выдается краткая выжимка основных деталей из текста.

Извлечение сущностей: сделано на основе решения для Аэрофлота, но без аналитики документа. Задаются сущности для извлечения по загруженному файлу.

Для обоих кейсов в UI вынесены промпты и параметры модели",,-,,,,"Суммаризация,Расп-е текста на изображ(OCR)",,
143,Testing (Pilots),Testing (Pilots),,,,4,2025,МТС Тревел,MWS AI,,"API по постам о Ярославле (аналогично тому, что делали для Самары), аналитику по постам","2 стенда: стримлит вопросы-ответы по БЗ + API, стенд с text-to-sql

Стенд для чата на естественным языке с базой данных по постам из соц. сетей о Ярославле.

В БД загружено несколько таблиц, модель изначально не знает сколько их, какая у них структура и содержание.

После ввода запроса, например, ""Сколько постов получили охват более 1000 человек в мае 2023 года?"" производится анализ таблиц, модель самостоятельно выбирает из каких граф извлекать информацию, использует sql-запросы.

В интерфейсе приводятся рассуждения модели о ходе своих решений и действий. Ответ выдается на естественном языке. Сохраняется история чата и возможность задавать дополнительные вопросы",,-,,,,"Генерация sql,Суммаризация",,
144,Testing (Pilots),Testing (Pilots),,,,4,2025,ДИТ,MWS AI,,Инструмент для создания презентаций по шаблонам,"Поддерживается загрузка шаблонов в pptx.
На первом шаге задается пользовательский промпт, по которому модель собирает план и расширенный текст по теме, который можно отредактировать в том же поле ввода промпта. После подтверждения текста модель ориентируясь на контекст с прошлого шага сама выбирает структуру презентации и наполнение в виду заголовков, пунктов, текстовых блоков. После генерации текстового содержания можно внести точечные корректировки. На финальном этапе создается презентация, которую можно выгрузить в pptx",,-,,,,"Суммаризация,RAG,Классификация",,
145,Testing (Pilots),Testing (Pilots),,,,6,2025,Минфин,MWS AI,,Автоответы (типовые письма),,,,,,,,,
146,Testing (Pilots),Testing (Pilots),,,,6,2025,Башкирэнерго,MWS AI,,Ассистент технической поддержки,,,,,,,,,
147,Testing (Pilots),Testing (Pilots),,,,6,2025,Башкирэнерго,MWS AI,,Онбординг для новых сотрудников,,,,,,,,,
148,Testing (Pilots),Testing (Pilots),,,,6,2025,Минцифры Псков,MWS AI,,Аналитик в приемной губернатора,,,,,,,,,
149,Testing (Pilots),Testing (Pilots),,,,6,2025,АК Барс,MWS AI,,Ассистент технической поддержки,,,,,,,,,
150,Testing (Pilots),Testing (Pilots),,,,6,2025,ТАСС,MWS AI,,Сервис редакторской проверки,,,,,,,,,
151,Testing (Pilots),Testing (Pilots),,,,6,2025,РГБ,MWS AI,,Knowledge Explorer,,,,,,,,,
152,Testing (Pilots),Testing (Pilots),,,,6,2025,ДИТ,MWS AI,,Помощник по юридическим документам,,,,,,,,,
153,Testing (Pilots),Testing (Pilots),,,,6,2025,Сахалин ЕКЦ,MWS AI,,Ассистент технической поддержки,,,,,,,,,
154,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG, OCR",,,,,"Корпоративный поиск,мультимодальный поиск,диалог с документом",,
155,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG, WP, AG",,,,,"""Анализ совещаний, звонков, видеоконференций для формирования поручений и т.д., постановка задач ответственным в календарь""",,
156,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG, ML",,,,,Копайлот аналитика | Text-to-BI/SQL,,
157,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, OCR, RPA",,,,,"HR-копайлот | наём с помощью RPA и ботов,сорсинг и скоринг резюме",,
158,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG, AG, ML, OCR",,,,,"Онбординг сотрудников,обучение и адаптация,оценка уровня компетенций",,
159,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Оценка уровня удовлетворенности сотрудников и прогнозирование их ухода,,
160,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG, AG, ML, OCR, RPA",,,,,Тренажёры для сотрудников / проверка вовлеченности / знаний,,
161,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Анализ производительности и выявление «узких мест» в работе персонала,,
162,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,HR Copilot,,,,,,,,,,,,,,"Анализ мотивационных факторов для повышения эффективности работы,определение потенциала сотрудников для продвижения по карьерной лестнице",,
163,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Автоматизированный расчет и анализ компенсаций и льгот для сотрудников,,
164,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,HR Copilot,,,,,,,,,,,,,,Разработка индивидуальных планов карьерного развития,,
165,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG, AG, ML",,,,,SD копайлот | Голосовые и текстовые боты поддержки,,
166,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG, ML, OCR, RPA",,,,,Обращения граждан/пользователей Автороспись + ответ,,
167,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Government,Energy industry",,,,,,,,"LLM, RAG, ML, OCR, RPA",,,,,Нейрочиновник | Автоответы на письма + стата (опционально),,
168,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG, OCR",,,,,Копайлот закупера | + Нормализация номенклатур (классификация) Анализ условий поставок и контрактов для закупок + Автоматизация создания закупочной документации,,
169,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG",,,,,PR Копилот | Генерация описаний/текстов новостей/постов,,
170,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG",,,,,Копайлот юриста (Юридический копайлот - Анализ и проверка договоров на соответствие законодательству 223-,,
171,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG, AG, CV, ML, OCR",,,,,Вторые пилоты (ВА в экосистемах),,
172,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,Telecommunications,,,,,,,,"LLM, CV, ML",,,,,Модерация видеоконтента (отдельным треком),,
173,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,"LLM, CV, AG, ML",,,,,Хайлайты встреч (Умный трейлер),,
174,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Retail,Telecommunications",,,,,,,,"ML, LLM, RAG",,,,,"""Рекомендации (услуги, контент, канал доставки)"",персонализированный контент для пользователей",,
175,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Копайлот страховщика | Страховой скорринг (детализировать),,
176,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Retail,Telecommunications,Government",,,,,,,,"LLM, RAG, AG, ML",,,,,Agent Assit / Автосуфлёр оператора КЦ (copilot для выбора лучшего ответа,,
177,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,,,,,,Обработка аналитических задач по текстовому запросу,,
178,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,"""No Code платформа для автоматизации. На платформе есть функционал речевой аналитики, можно подключить свою внутреннюю базу знаний к DocQA, собрать без кода сценарии для чат бота, и сделать его голосовым, загрузить изображение документов и перевести их в э""",,
179,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,,,,,,Анализ условий поставок и контрактов для закупок + Автоматизация создания закупочной документации,,
180,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,Government,,,,,,,,,,,,,Анализ текстов и голоса на наличие дипфейков,,
181,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,Government,,,,,,,,,,,,,Обращения граждан,,
182,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Первая линия техподдержки,,
183,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,,,,,,HR партнер,,
184,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,"Financial Services,Energy industry,Retail,Telecommunications,Government",,,,,,,,,,,,,"Создание черновика сложного документа (на техприсоединение,создание технологической карты и пр)",,
185,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Управление транспортом (тиражирование кейса Северстали),,
186,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Инструменты технолога/инженера (разработка платформы для технологов с чатом на базе знаний по проблемам и дефектам,,
187,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,"""Модерация контента (фото, видео, текст на фото)""",,
188,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Применение больших языковых моделей и голосовых интерфейсов существенно сокращает время разработки и запуска новых продуктов и минимизирует необходимость ручных операций при взаимодействии с банковскими платформами ЦФТ,,
189,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Защиткин имплементированный в банковское приложение,,
190,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Интеграция с современными платформами кибербеза: Переход к проактивному управлению киберугрозами,,
191,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Процесс предсказания поломок оборудования,,
192,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Оптимизация энергопотребления в производстве,,
193,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Мониторинг производственных линий в реальном времени,,
194,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Прогнозирование потребностей в сырье,,
195,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Автоматизация складской логистики,,
196,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Анализ и оптимизация производственных затрат,,
197,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Предиктивное обслуживание оборудования,,
198,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Автоматизация управления персоналом на производстве,,
199,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Прогнозирование спроса на продукцию,,
200,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Оптимизация распределения ресурсов,,
201,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Контроль соответствия экологическим нормам,,
202,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Управление цепочкой поставок в реальном времени,,
203,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Анализ производительности рабочих процессов,,
204,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Прогнозирование потребности в техническом обслуживании,,
205,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Автоматическое выявление отклонений в производственном процессе,,
206,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Оптимизация производственного расписания,,
207,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Анализ эффективности использования оборудования,,
208,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Обеспечение безопасности данных на производственных объектах,,
209,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Предсказание дефектов продукции на ранних стадиях производства,,
210,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Автоматизация тестирования и контроля компонентов продукции,,
211,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Управление производственными рисками с помощью ИИ,,
212,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Оптимизация работы производственных роботов,,
213,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Автоматическое составление графиков смен для сотрудников,,
214,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Контроль соблюдения стандартов на производстве,,
215,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Прогнозирование сроков выполнения заказов,,
216,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Оптимизация маршрутов транспортировки товаров,,
217,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Автоматизация документооборота в логистике,,
218,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Интеграция ИИ для ускорения R&D процессов,,
219,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Оценка эффективности инвестиционных решений в производстве,,
220,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Анализ данных для улучшения производительности оборудования,,
221,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Автоматизация процесса тестирования материалов,,
222,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Мониторинг выбросов на производственных площадках,,
223,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Управление запасами с использованием ИИ,,
224,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Контроль температурных режимов на производстве,,
225,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Определение оптимальных параметров работы оборудования,,
226,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Автоматическая классификация неисправностей на производстве,,
227,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Предсказание времени простоя оборудования,,
228,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Оптимизация использования сырья на основе анализа данных,,
229,Potential Cases (Hypotheses),Potential Cases (Hypotheses),,,,,,,,,,,,,,,,Автоматизация процесса инвентаризации,,
